 00Z 18 Jun 2017  0.00   9.79
 12Z 18 Jun 2017  0.00   7.22
 00Z 19 Jun 2017  0.00   12.30
 12Z 19 Jun 2017  0.00   8.05
 00Z 20 Jun 2017  0.00   8.27
 00Z 21 Jun 2017  0.00   10.04
 12Z 21 Jun 2017  0.00   12.19
 00Z 22 Jun 2017  0.00   16.80
 12Z 22 Jun 2017  0.00   26.48
 00Z 23 Jun 2017  87.23   29.61
 12Z 23 Jun 2017  2.00   35.62
 00Z 24 Jun 2017  260.97   34.70
 12Z 24 Jun 2017  0.00   35.05
 00Z 25 Jun 2017  61.08   34.41
 12Z 25 Jun 2017  7.22   32.71
 00Z 26 Jun 2017  26.14   26.63
 12Z 26 Jun 2017  0.00   26.88
 00Z 27 Jun 2017  13.59   31.64
 12Z 27 Jun 2017  0.00   37.69
 00Z 28 Jun 2017  0.00   22.13
 12Z 28 Jun 2017  0.00   18.69
 00Z 29 Jun 2017  1.64   14.76
 12Z 29 Jun 2017  0.00   13.36
 00Z 30 Jun 2017  0.00   15.27
 12Z 30 Jun 2017  0.00   16.74
 00Z 01 Jul 2017  0.00   15.72
 12Z 01 Jul 2017  0.00   18.45
 00Z 02 Jul 2017  0.00   19.46
 12Z 02 Jul 2017  0.00   14.10
 00Z 03 Jul 2017  0.00   9.68
 00Z 04 Jul 2017  0.00   10.04
 12Z 04 Jul 2017  0.00   9.56
 00Z 05 Jul 2017  0.00   16.10
 00Z 06 Jul 2017  0.00   15.91
 12Z 06 Jul 2017  0.00   20.32
 00Z 07 Jul 2017  0.00   28.93
 12Z 07 Jul 2017  0.00   27.96
 00Z 08 Jul 2017  0.00   36.92
 12Z 08 Jul 2017  0.09   27.86
 00Z 09 Jul 2017  0.00   11.86
 12Z 09 Jul 2017  0.00   27.64
 00Z 10 Jul 2017  0.00   24.67
 12Z 10 Jul 2017  0.00   24.77
 00Z 11 Jul 2017  0.00   14.05
 12Z 11 Jul 2017  0.00   6.43
 00Z 12 Jul 2017  0.00   16.16
 12Z 12 Jul 2017  0.00   33.89
 00Z 13 Jul 2017  171.67   27.91
 12Z 13 Jul 2017  0.00   26.54
 00Z 14 Jul 2017  0.00   27.44
 12Z 14 Jul 2017  0.00   24.19
 00Z 15 Jul 2017  0.00   26.58
 12Z 15 Jul 2017  0.00   26.04
 00Z 16 Jul 2017  0.00   11.14
 12Z 16 Jul 2017  3.22   10.87
 00Z 17 Jul 2017  0.00   8.92
 12Z 17 Jul 2017  0.00   2.70
 00Z 18 Jul 2017  0.00   6.42
 12Z 18 Jul 2017  0.00   6.99
 00Z 19 Jul 2017  0.00   7.16
 12Z 19 Jul 2017  0.00   6.37
 00Z 20 Jul 2017  0.00   8.27
 12Z 20 Jul 2017  0.00   10.32
 00Z 21 Jul 2017  0.00   13.96
 12Z 21 Jul 2017  0.00   12.66
 00Z 22 Jul 2017  0.00   10.87
 00Z 23 Jul 2017  0.00   11.84
 00Z 24 Jul 2017  0.00   31.12
 12Z 24 Jul 2017  0.00   25.52
 00Z 25 Jul 2017  0.00   13.52
 12Z 25 Jul 2017  0.00   12.66
 00Z 26 Jul 2017  0.00   34.70
 12Z 26 Jul 2017  0.00   29.78
 00Z 27 Jul 2017  0.00   33.17
 12Z 27 Jul 2017  2.74   31.44
 00Z 28 Jul 2017  0.00   17.21
 12Z 28 Jul 2017  0.00   17.50
 00Z 29 Jul 2017  0.00   22.07
 12Z 29 Jul 2017  0.00   25.35
 00Z 30 Jul 2017  0.00   28.69
 12Z 30 Jul 2017  0.00   30.66
 00Z 31 Jul 2017  0.00   25.85
 12Z 31 Jul 2017  0.00   26.56
 00Z 01 Aug 2017  0.00   26.37
 12Z 01 Aug 2017  0.00   20.00
 00Z 02 Aug 2017  0.00   18.03
 12Z 02 Aug 2017  0.00   12.43
 00Z 03 Aug 2017  0.00   10.34
 00Z 04 Aug 2017  0.00   9.60
 12Z 04 Aug 2017  0.00   8.51
 00Z 05 Aug 2017  0.00   8.97
 12Z 05 Aug 2017  0.00   7.21
 00Z 06 Aug 2017  0.00   10.45
 12Z 06 Aug 2017  0.00   20.86
 00Z 07 Aug 2017  0.00   22.09
 12Z 07 Aug 2017  28.44   24.63
 00Z 08 Aug 2017  93.71   28.53
 12Z 08 Aug 2017  0.00   17.74
 00Z 09 Aug 2017  0.00   13.65
 12Z 09 Aug 2017  0.00   16.68
 12Z 10 Aug 2017  0.07   19.08
 12Z 11 Aug 2017  0.00   35.39
 12Z 12 Aug 2017  0.00   32.47
 00Z 13 Aug 2017  0.00   14.11
 12Z 13 Aug 2017  0.00   6.76
 00Z 14 Aug 2017  0.00   13.39
 12Z 14 Aug 2017  0.00   8.58
 00Z 15 Aug 2017  0.00   13.31
 12Z 15 Aug 2017  0.00   15.31
 00Z 16 Aug 2017  0.00   19.92
 12Z 16 Aug 2017  0.00   6.96
 00Z 17 Aug 2017  0.00   6.17
 12Z 17 Aug 2017  0.00   13.22
 00Z 18 Aug 2017  0.00   19.77
 12Z 18 Aug 2017  0.00   10.63
 00Z 19 Aug 2017  0.00   19.04
 12Z 19 Aug 2017  0.00   23.37
 00Z 20 Aug 2017  0.00   7.88
 12Z 20 Aug 2017  0.00   6.43
 00Z 21 Aug 2017  0.00   6.75
 12Z 21 Aug 2017  0.00   6.46
 00Z 22 Aug 2017  0.00   10.09
 12Z 22 Aug 2017  0.00   6.36
 00Z 23 Aug 2017  0.00   7.90
 12Z 23 Aug 2017  0.00   18.45
 00Z 24 Aug 2017  0.00   28.73
 12Z 24 Aug 2017  4.53   42.12
 12Z 25 Aug 2017  1.11   45.45
 00Z 26 Aug 2017  0.00   28.73
 12Z 26 Aug 2017  0.00   25.03
 00Z 27 Aug 2017  0.00   21.24
 12Z 27 Aug 2017  0.00   21.51
 00Z 28 Aug 2017  0.00   24.82
 12Z 28 Aug 2017  27.11   32.40
 00Z 29 Aug 2017  560.07   39.06
 00Z 30 Aug 2017  1.33   18.29
 12Z 30 Aug 2017  0.00   11.09
 00Z 31 Aug 2017  0.00   8.50
 12Z 31 Aug 2017  0.00   7.33
 00Z 01 Sep 2017  0.00   13.77
 12Z 01 Sep 2017  0.00   28.43
 00Z 02 Sep 2017  0.00   30.02
 12Z 02 Sep 2017  477.04   43.28
 00Z 03 Sep 2017  0.00   41.13
 00Z 04 Sep 2017  0.01   38.36
 12Z 04 Sep 2017  0.00   18.59
 00Z 05 Sep 2017  0.00   12.57
 12Z 05 Sep 2017  0.00   6.56
 00Z 06 Sep 2017  0.00   9.92
 00Z 07 Sep 2017  0.00   15.25
 00Z 08 Sep 2017  2.28   14.85
 00Z 09 Sep 2017  0.00   36.15
 00Z 10 Sep 2017  0.00   32.11
