 12Z 29 Sep 2017  0.00   23.01
 12Z 02 Oct 2017  186.71   19.13
 12Z 04 Oct 2017  0.00   16.62
 12Z 06 Oct 2017  0.00   13.56
 12Z 07 Oct 2017  0.00   8.49
 12Z 08 Oct 2017  0.00   16.96
 12Z 09 Oct 2017  0.00   19.01
 12Z 10 Oct 2017  0.00   10.49
 12Z 11 Oct 2017  0.00   15.88
 12Z 12 Oct 2017  0.00   25.34
 12Z 13 Oct 2017  0.00   17.69
 12Z 14 Oct 2017  0.00   10.27
 12Z 16 Oct 2017  0.00   12.09
 12Z 17 Oct 2017  0.00   29.17
 12Z 18 Oct 2017  11.72   20.82
 12Z 20 Oct 2017  0.00   11.81
 12Z 22 Oct 2017  0.10   7.18
 12Z 23 Oct 2017  0.00   8.44
 12Z 24 Oct 2017  0.00   15.68
 12Z 25 Oct 2017  0.00   18.80
 12Z 26 Oct 2017  0.00   23.68
 12Z 27 Oct 2017  112.40   32.16
 12Z 28 Oct 2017  0.00   15.18
 12Z 29 Oct 2017  437.16   32.61
 12Z 30 Oct 2017  0.00   7.23
 12Z 31 Oct 2017  0.00   13.52
 12Z 01 Nov 2017  0.00   19.76
 12Z 02 Nov 2017  0.00   25.93
 12Z 03 Nov 2017  0.00   19.80
 12Z 04 Nov 2017  0.00   13.60
 12Z 05 Nov 2017  0.00   18.74
 12Z 07 Nov 2017  7.42   29.21
 12Z 08 Nov 2017  410.87   31.78
 12Z 09 Nov 2017  0.00   12.68
 12Z 10 Nov 2017  204.67   17.81
 12Z 12 Nov 2017  0.00   13.59
 12Z 14 Nov 2017  0.00   22.71
 12Z 15 Nov 2017  1.62   30.63
 12Z 16 Nov 2017  0.00   11.19
 12Z 17 Nov 2017  0.00   19.60
 12Z 18 Nov 2017  224.62   12.46
 12Z 19 Nov 2017  0.00   18.13
 12Z 20 Nov 2017  0.00   18.45
 12Z 21 Nov 2017  0.00   10.16
 12Z 22 Nov 2017  0.00   16.34
 12Z 23 Nov 2017  0.00   20.34
 12Z 24 Nov 2017  0.00   8.70
 12Z 25 Nov 2017  0.00   11.20
 12Z 26 Nov 2017  0.00   15.53
 12Z 28 Nov 2017  0.00   8.95
 12Z 29 Nov 2017  0.00   23.10
 12Z 30 Nov 2017  0.00   25.45
 12Z 01 Dec 2017  0.00   25.06
 12Z 02 Dec 2017  0.00   23.10
 12Z 03 Dec 2017  281.36   36.90
 12Z 04 Dec 2017  8.98   25.30
 12Z 05 Dec 2017  29.86   23.35
 12Z 07 Dec 2017  0.29   23.92
 12Z 10 Dec 2017  0.00   18.05
 12Z 11 Dec 2017  0.00   9.50
 12Z 12 Dec 2017  0.00   13.77
 12Z 13 Dec 2017  0.00   18.83
 12Z 14 Dec 2017  0.00   23.54
 12Z 15 Dec 2017  0.00   25.88
 12Z 16 Dec 2017  0.24   28.57
 12Z 17 Dec 2017  0.00   15.50
 12Z 18 Dec 2017  0.00   14.13
 12Z 19 Dec 2017  0.00   31.99
 12Z 20 Dec 2017  0.00   27.32
 12Z 22 Dec 2017  1209.17   36.76
 12Z 23 Dec 2017  51.13   28.13
 12Z 24 Dec 2017  0.00   7.96
 12Z 25 Dec 2017  0.00   22.32
 12Z 26 Dec 2017  0.00   22.54
 12Z 27 Dec 2017  58.52   27.24
 12Z 28 Dec 2017  430.21   22.65
 12Z 29 Dec 2017  348.14   29.07
 12Z 30 Dec 2017  0.00   26.58
 12Z 31 Dec 2017  0.00   30.28
